keys,en,ja,fr,de,es,it,ko,zh_HK,zh
40,Wigglytuff,プクリン,Grodoudou,Knuddeluff,Wigglytuff,Wigglytuff,푸크린,胖可丁,胖可丁
41,Zubat,ズバット,Nosferapti,Zubat,Zubat,Zubat,주뱃,超音蝠,超音蝠
42,Golbat,ゴルバット,Nosferalto,Golbat,Golbat,Golbat,골뱃,大嘴蝠,大嘴蝠
43,Oddish,ナゾノクサ,Mystherbe,Myrapla,Oddish,Oddish,뚜벅쵸,走路草,走路草
44,Gloom,クサイハナ,Ortide,Duflor,Gloom,Gloom,냄새꼬,臭臭花,臭臭花
45,Vileplume,ラフレシア,Rafflesia,Giflor,Vileplume,Vileplume,라플레시아,霸王花,霸王花
46,Paras,パラス,Paras,Paras,Paras,Paras,파라스,派拉斯,派拉斯
47,Parasect,パラセクト,Parasect,Parasek,Parasect,Parasect,파라섹트,派拉斯特,派拉斯特
48,Venonat,コンパン,Mimitoss,Bluzuk,Venonat,Venonat,콘팡,毛球,毛球
49,Venomoth,モルフォン,Aéromite,Omot,Venomoth,Venomoth,도나리,摩魯蛾,摩鲁蛾
50,Diglett,ヂィグダ,Taupiqueur,Digda,Diglett,Diglett,디그다,地鼠,地鼠
51,Dugtrio,ダグトリオ,Triopikeur,Digdri,Dugtrio,Dugtrio,닥트리오,三地鼠,三地鼠
52,Meowth,ニャース,Miaouss,Mauzi,Meowth,Meowth,나옹,喵喵,喵喵
53,Persian,ペルシアン,Persian,Snobilikat,Persian,Persian,페르시온,貓老大,貓老大
54,Psyduck,コダック,Psykokwak,Enton,Psyduck,Psyduck,고라파덕,可達鴨,可达鸭
55,Golduck,ゴルダック,Akwakwak,Entoron,Golduck,Golduck,골덕,哥達鴨,哥达鸭
56,Mankey,マンキー,Férosinge,Mankey,Mankey,Mankey,망키,猴怪,猴怪
57,Primape,オコリザル,Colosinge,Rasaff,Primape,Primape,성원숭,火爆猴,火爆猴
58,Growlithe,ガーヂィ,Caninos,Fukano,Growlithe,Growlithe,가디,卡蒂狗,卡蒂狗
59,Arcanine,ウインヂィ,Arcanin,Arkani,Arcanine,Arcanine,윈디,風速狗,风速狗
60,Poliwag,ニョロモ,Ptitard,Quapsel,Poliwag,Poliwag,발챙이,蚊香蝌蚪,蚊香蝌蚪
61,Poliwhirl,ニョロゾ,Têtarte,Quaputzi,Poliwhirl,Poliwhirl,슈륙챙이,蚊香君,蚊香君
62,Poliwrath,ニョロボン,Tartard,Quappo,Poliwrath,Poliwrath,강챙이,蚊香泳士,蚊香泳士
63,Abra,ケーシィ,Abra,Abra,Abra,Abra,캐이시,凱西,凯西
64,Kadabra,ユンゲラー,Kadabra,Kadabra,Kadabra,Kadabra,윤겔라,勇基拉,勇基拉
65,Alakazam,フーヂィン,Alakazam,Simsala,Alakazam,Alakazam,후디,胡地,胡地
66,Machop,ワンリキー,Machoc,Machollo,Machop,Machop,알통몬,腕力,腕力
67,Machoke,ゴーリキー,Machopeur,Maschock,Machoke,Machoke,근육몬,豪力,豪力
68,Machamp,カイリキー,Mackogneur,Machomei,Machamp,Machamp,괴력몬,怪力,怪力
69,Bellsprout,マダツボミ,Chétiflor,Knofensa,Bellsprout,Bellsprout,모다피,喇叭芽,喇叭芽
70,Weepinbell,ウツドン,Boustiflor,Ultrigaria,Weepinbell,Weepinbell,우츠동,口呆花,口呆花
71,Victreebel,ウツボット,Empiflor,Sarzenia,Victreebel,Victreebel,우츠보트,大食花,大食花
72,Tentacool,メノクラゲ,Tentacool,Tentacha,Tentacool,Tentacool,왕눈해,瑪瑙水母,玛瑙水母
73,Tentacruel,ドククラゲ,Tentacruel,Tentoxa,Tentacruel,Tentacruel,독파리,毒刺水母,毒刺水母
74,Geodude,イシツブテ,Racaillou,Kleinstein,Geodude,Geodude,꼬마돌,小拳石,小拳石
75,Graveler,ゴローン,Gravalanch,Georok,Graveler,Graveler,데구리,隆隆石,隆隆石
76,Golem,ゴローニャ,Grolem,Geowaz,Golem,Golem,딱구리,隆隆岩,隆隆岩
77,Ponyta,ポニータ,Ponyta,Ponyta,Ponyta,Ponyta,포니타,小火馬,小火马
78,Rapidash,ギャロップ,Galopa,Gallopa,Rapidash,Rapidash,날쌩마,烈焰馬,烈焰马
79,Slowpoke,ヤドン,Ramoloss,Flegmon,Slowpoke,Slowpoke,야돈,呆呆獸,呆呆兽
80,Slowbro,ヤドラン,Flagadoss,Lahmus,Slowbro,Slowbro,야도란,呆殼獸,呆壳兽
81,Magnemite,コイル,Magnéti,Magnetilo,Magnemite,Magnemite,코일,小磁怪,小磁怪
82,Magneton,レアコイル,Magnéton,Magneton,Magneton,Magneton,레어코일,三合一磁怪,三合一磁怪
83,Farfetch'd,カモネギ,Canarticho,Porenta,Farfetch'd,Farfetch'd,파오리,大蔥鴨,大葱鸭
84,Doduo,ドードー,Doduo,Dodu,Doduo,Doduo,두두,嘟嘟,嘟嘟
85,Dodrio,ドードリオ,Dodrio,Dodri,Dodrio,Dodrio,두트리오,嘟嘟利,嘟嘟利
86,Seel,パウワウ,Otaria,Jurob,Seel,Seel,쥬쥬,小海獅,小海狮
87,Dewgong,ジュゴン,Lamantine,Jugong,Dewgong,Dewgong,쥬레곤,白海獅,白海狮
88,Grimer,ベトベター,Tadmorv,Sleima,Grimer,Grimer,질퍽이,臭泥,臭泥
89,Muk,ベトベトン,Grotadmorv,Sleimok,Muk,Muk,질뻐기,臭臭泥,臭臭泥
90,Shellder,シェルダー,Kokiyas,Muschas,Shellder,Shellder,셀러,大舌貝,大舌贝
91,Cloyster,パルシェン,Crustabri,Austos,Cloyster,Cloyster,파르셀,刺甲貝,刺甲贝
92,Gastly,ゴース,Fantominus,Nebulak,Gastly,Gastly,고오스,鬼斯,鬼斯
93,Haunter,ゴースト,Spectrum,Apollo,Haunter,Haunter,고우스트,鬼斯通,鬼斯通
94,Gengar,ゲンガー,Ectoplasma,Gengar,Gengar,Gengar,팬텀,耿鬼,耿鬼
95,Onix,イワーク,Onix,Onix,Onix,Onix,롱스톤,大岩蛇,大岩蛇
96,Drowzee,スリープ,Soporifik,Traumato,Drowzee,Drowzee,슬리프,催眠貘,催眠貘
97,Hypno,スリーパー,Hypnomade,Hypno,Hypno,Hypno,슬리퍼,引夢貘人,引梦貘人
98,Krabby,クラブ,Krabby,Krabby,Krabby,Krabby,크랩,大鉗蟹,大钳蟹
99,Kingler,キングラー,Krabboss,Kingler,Kingler,Kingler,킹크랩,巨鉗蟹,巨钳蟹
100,Voltorb,ビリリダマ,Voltorbe,Voltobal,Voltorb,Voltorb,찌리리공,霹靂電球,霹雳电球
101,Electrode,マルマリン,Électrode,Lektrobal,Electrode,Electrode,붐볼,頑皮雷彈,顽皮雷弹
102,Exeggcute,タマタマ,Noeunoeuf,Owei,Exeggcute,Exeggcute,아라리,蛋蛋,蛋蛋
103,Exeggutor,ナッシー,Noadkoko,Kokowei,Exeggutor,Exeggutor,나시,椰蛋樹,椰蛋树
104,Cubone,カラカラ,Osselait,Tragosso,Cubone,Cubone,탕구리,卡拉卡拉,卡拉卡拉
105,Marowak,ガラガラ,Ossatueur,Knogga,Marowak,Marowak,텅구리,嘎啦嘎啦,嘎啦嘎啦
106,Hitmonlee,サワムラー,Kicklee,Kicklee,Hitmonlee,Hitmonlee,시라소몬,飛腿郎,飞腿郎
107,Hitmonchan,エビワラー,Tygnon,Nokchan,Hitmonchan,Hitmonchan,홍수몬,快拳郎,快拳郎
108,Lickitung,ベロリンガ,Excelangue,Schlurp,Lickitung,Lickitung,내루미,大舌頭,大舌头
109,Koffing,ドガース,Smogo,Smogon,Koffing,Koffing,또가스,瓦斯彈,瓦斯弹
110,Weezing,マタドカース,Smogogo,Smogmog,Weezing,Weezing,또도가스,雙彈瓦斯,双弹瓦斯
111,Rhyhorn,サイホーン,Rhinocorne,Rihorn,Rhyhorn,Rhyhorn,뿔카노,獨角犀牛,独角犀牛
112,Rhydon,サイドン,Rhinoféros,Rizeros,Rhydon,Rhydon,코뿌리,鑽角犀獸,钻角犀兽
113,Chansey,ラッキ,Leveinard,Chaneira,Chansey,Chansey,럭키,吉利蛋,吉利蛋
114,Tangela,モンジャラ,Saquedeneu,Tangela,Tangela,Tangela,덩구리,蔓藤怪,蔓藤怪
115,Kangaskhan,ガルーラ,Kangourex,Kangama,Kangaskhan,Kangaskhan,캥카,袋獸,袋兽
116,Horsea,タッツー,Hypotrempe,Seeper,Horsea,Horsea,쏘드라,墨海馬,墨海马
117,Seadra,シードラ,Hypocéan,Seemon,Seadra,Seadra,시드라,海刺龍,海刺龙
118,Goldeen,トサキント,Poissirène,Goldini,Goldeen,Goldeen,콘치,角金魚,角金鱼
119,Seaking,アズマオウ,Poissoroy,Golking,Seaking,Seaking,왕콘치,金魚王,金鱼王
120,Staryu,ヒトデマン,Stari,Sterndu,Staryu,Staryu,별가사리,海星星,海星星
121,Starmie,スターミー,Staross,Starmie,Starmie,Starmie,아쿠스타,寶石海星,宝石海星
122,Mr. Mime,バリヤード,M. Mime,Pantimos,Mr. Mime,Mr. Mime,마임맨,魔牆人偶,魔墙人偶
123,Scyther,ストライク,Insécateur,Sichlor,Scyther,Scyther,스라크,飛天螳螂,飞天螳螂
124,Jynx,ルージュラ,Lippoutou,Rossana,Jynx,Jynx,루주라,迷唇姐,迷唇姐
125,Electabuzz,エレブー,Élektek,Elektek,Electabuzz,Electabuzz,에레브,電擊獸,电击兽
126,Magmar,ブーバー,Magmar,Magmar,Magmar,Magmar,마그마,鴨嘴火獸,鸭嘴火兽
127,Pinisir,カイロス,Scarabrute,Pinisir,Pinisir,Pinisir,쁘사이저,凱羅斯,凯罗斯
128,Tauros,ケンタロス,Tauros,Tauros,Tauros,Tauros,켄타로스,肯泰羅,肯泰罗
129,Magikarp,コイキング,Magicarpe,Magikarp,Magikarp,Magikarp,잉어킹,鯉魚王,鲤鱼王
130,Gyrados,ギャラドス,Léviator,Garados,Gyrados,Gyrados,갸라도스,暴鯉龍,暴鲤龙
131,Lapras,ラプラス,Lokhlass,Lapras,Lapras,Lapras,라프라스,拉普拉斯,拉普拉斯
132,Ditto,メタモン,Métamorph,Ditto,Ditto,Ditto,메타몽,百變怪,百变怪
133,Eevee,イーブイ,Évoli,Evoli,Eevee,Eevee,이브이,伊布,伊布
134,Vaporeon,シャワーズ,Aquali,Aquana,Vaporeon,Vaporeon,샤미드,水伊布,水伊布
135,Jolteon,サンダース,Voltali,Blitza,Jolteon,Jolteon,쥬피썬더,雷伊布,雷伊布
136,Flareon,ブースター,Pyroli,Flamara,Flareon,Flareon,부스터,火伊布,火伊布
137,Porygon,ポリゴン,Porygon,Porygon,Porygon,Porygon,폴리곤,多邊獸,多边兽
138,Omanyte,オムナイト,Amonita,Amonitas,Omanyte,Omanyte,암나이트,菊石獸,菊石兽
139,Omastar,オムスター,Amonistar,Amoroso,Omastar,Omastar,암스타,多刺菊石獸,多刺菊石兽
140,Kabuto,カブト,Kabuto,Kabuto,Kabuto,Kabuto,투구,化石盔,化石盔
141,Kabutops,カブトプス,Kabutops,Kabutops,Kabutops,Kabutops,투구푸스,鐮刀盔,镰刀盔
142,Aerodactyl,プテラ,Ptéra,Aerodactyl,Aerodactyl,Aerodactyl,프테라,化石翼龍,化石翼龙
143,Snorlax,カビゴン,Ronflex,Relaxo,Snorlax,Snorlax,잠만보,卡比獸,卡比兽
144,Articuno,フリーザー,Artikodin,Arktos,Articuno,Articuno,프리져,急凍鳥,急冻鸟
145,Zapdos,サンダー,Électhor,Zapdos,Zapdos,Zapdos,썬더,閃電鳥,闪电鸟
146,Moltres,ファイヤー,Sulfura,Lavados,Moltres,Moltres,파이어,火焰鳥,火焰鸟
147,Dratini,ミニリュウ,Minidraco,Dratini,Dratini,Dratini,미뇽,迷你龍,迷你龙
148,Dragonair,ハクリュウ,Draco,Dragonir,Dragonair,Dragonair,신뇽,哈克龍,哈克龙
149,Dragonite,カイリュウ,Dracolosse,Dragoran,Dragonite,Dragonite,망나뇽,快龍,快龙
150,Mewtwo,ミュウツー,Mewtwo,Mewtu,Mewtwo,Mewtwo,뮤츠,超夢,超梦
151,Mew,ミュウ,Mew,Mew,Mew,Mew,뮤,夢幻,梦幻
152,Chikorita,チコリータ,Germinion,Endivie,Chikorita,Chikorita,치코리타,菊草葉,菊草叶
153,Bayleef,ベイリーフ,Macronium,Lorblatt,Bayleef,Bayleef,베이리프,月桂葉,月桂叶
154,Meganium,メガニウム,Méganium,Meganie,Meganium,Meganium,메가니움,大竺葵,大竺葵
155,Cyndaquil,ヒノアラシ,Héricendre,Feuriegel,Cyndaquil,Cyndaquil,브케인,火球鼠,火球鼠
156,Quilava,マグマラシ,Feurisson,Igelavar,Quilava,Quilava,마그케인,火岩鼠,火岩鼠
157,Typhlosion,バクフーン,Typhlosion,Tornupto,Typhlosion,Typhlosion,블레이범,火爆獸,火爆兽
158,Totodile,ワニノコ,Kaiminus,Karnimani,Totodile,Totodile,리아코,小鋸鱷,小锯鳄
159,Croconaw,アリゲイツ,Crocrodil,Tyracroc,Croconaw,Croconaw,엘리게이,藍鱷,蓝鳄
160,Feraligatr,オーダイル,Aligatueur,Impergator,Feraligatr,Feraligatr,장크로다일,大力鱷,大力鳄
161,Sentret,オタチ,Fouinette,Wiesor,Sentret,Sentret,꼬리선,尾立,尾立
162,Furret,オオタチ,Fouinar,Wiesenior,Furret,Furret,다꼬리,大尾立,大尾立
163,Hoothoot,ホホーホー,Hoothoot,Hoothoot,Hoothoot,Hoothoot,부우부,咕咕,咕咕
164,Noctowl,ヨルノズク,Noarfang,Noctuh,Noctowl,Noctowl,야부엉,貓頭夜鷹,猫头夜鹰
165,Ledyba,レヂィバ,Coxy,Ledyba,Ledyba,Ledyba,레디바,芭瓢蟲,芭瓢虫
166,Ledian,レヂィアン,Coxyclaque,Ledian,Ledian,Ledian,레디안,安瓢蟲,安瓢虫
167,Spinarak,イトマル,Mimigal,Webarak,Spinarak,Spinarak,페이검,圓絲蛛,圆丝蛛
168,Ariados,アリアドス,Migalos,Ariados,Ariados,Ariados,아리아도스,阿利多斯,阿利多斯
169,Crobat,クロバット,Nostenfer,Iksbat,Crobat,Crobat,크로뱃,叉字蝠,叉字蝠
170,Chinchou,チョンチー,Loupio,Lampi,Chinchou,Chinchou,초라기,燈籠魚,灯笼鱼
171,Lanturn,ランターン,Lanturn,Lanturn,Lanturn,Lanturn,랜턴,電燈怪,电灯怪
172,Pichu,ピチュウ,Pichu,Pichu,Pichu,Pichu,피츄,皮丘,皮丘
173,Cleffa,ピィ,Mélo,Pii,Cleffa,Cleffa,삐,皮寶寶,皮宝宝
174,Igglybuff,ププリン,Toudoudou,Fluffefeluff,Igglybuff,Igglybuff,푸푸린,寶寶丁,宝宝丁
175,Togepi,トゲピー,Togepi,Togepi,Togepi,Togepi,토게피,波克比,波克比
176,Togetic,トゲチック,Togetic,Togetic,Togetic,Togetic,토게틱,波克基古,波克基古
177,Natu,ネイチィ,Natu,Natu,Natu,Natu,네이티,天然雀,天然雀
178,Xatu,ネイチィオ,Xatu,Xatu,Xatu,Xatu,네이티오,天然鳥,天然鸟
179,Mareep,メリープ,Wattouat,Voltilamm,Mareep,Mareep,메리프,咩利羊,咩利羊
180,Flaaffy,モココ,Lainergie,Waaty,Flaaffy,Flaaffy,보송송,茸茸羊,茸茸羊
181,Ampharos,デンリュウ,Pharamp,mpharos,Ampharos,Ampharos,전룡,電龍,电龙
182,Bellossom,キレイハナ,Joliflor,Blubella,Bellossom,Bellossom,아르코,美麗花,美丽花
183,Marill,マリル,Marill,Marill,Marill,Marill,마릴,瑪力露,玛力露
184,Azumarill,マリルリ,Azumarill,Azumarill,Azumarill,Azumarill,마릴리,瑪力露麗,玛力露丽
185,Sudowoodo,ウソッキー,Simularbre,Mogelbaum,Sudowoodo,Sudowoodo,꼬지모,樹才怪,树才怪
186,Politoed,ニョロトノ,Tarpaud,Quaxo,Politoed,Politoed,왕구리,蚊香蛙皇,蚊香蛙皇
187,Hoppip,ハネッコ,Granivol,Hoppspross,Hoppip,Hoppip,통통코,毽子草,毽子草
188,Skiploom,ポポッコ,Floravol,Hubelupf,Skiploom,Skiploom,두코,毽子花,毽子花
189,Jumpluff,ワタッコ,Cotovol,Papungha,Jumpluff,Jumpluff,솜솜코,毽子棉,毽子棉
190,Aipom,エイパム,Capumain,Griffel,Aipom,Aipom,에이팜,長尾怪手,长尾怪手
191,Sunkern,ヒマナッツ,Tournegrain,Sonnkern,Sunkern,Sunkern,해너츠,向日種子,向日种子
192,Sunflora,キミワリ,Héliatronc,Sonflora,Sunflora,Sunflora,해루미,向日花怪,向日花怪
193,Yanma,ヤンヤンマ,Yanma,Yanma,Yanma,Yanma,왕자리,蜻蜻蜓,蜻蜻蜓
194,Wooper,ウパー,Axoloto,Felino,Wooper,Wooper,우파,烏波,乌波
195,Quagsire,ヌオー,Maraiste,Morlord,Quagsire,Quagsire,누오,沼王,沼王
196,Espeon,エーフィ,Mentali,Psiana,Espeon,Espeon,에브이,太陽伊布,太阳伊布
197,Umbreon,ブラッキー,Noctali,Nachtara,Umbreon,Umbreon,블래키,月亮伊布,月亮伊布
198,Murkrow,ヤミカラス,Cornèbre,Kramurx,Murkrow,Murkrow,니로우,黑暗鴉,黑暗鸦
199,Slowking,ヤドキング,Roigada,Laschoking,Slowking,Slowking,야도킹,呆呆王,呆呆王
200,Misdreavus,ムウマ,Feuforève,Traunmagil,Misdreavus,Misdreavus,무우마,夢妖,梦妖
201,Unown,アンノーン,Zarbi,Icognito,Unown,Unown,안농,未知圖騰,未知图腾
202,Wobbuffet,ソーナンス,Qulbutoké,Woingenau,Wobbuffet,Wobbuffet,마자용,果然翁,果然翁
203,Girafarig,キリンリキ,Girafarig,Girafarig,Girafarig,Girafarig,키링키,麒麟奇,麒麟奇
204,Pineco,クヌギダマ,Pomdepik,Tanza,Pineco,Pineco,피콘,榛果球,榛果球
205,Forretress,フォレトス,Foretress,Forstellka,Forretress,Forretress,쏘콘,佛烈托斯,佛烈托斯
206,Dunsparce,ノコッチ,Insolourdo,Dummisel,Dunsparce,Dunsparce,노고치,土龍弟弟,土龙弟弟
207,Gligar,グライガー,Scorplane,Skorgla,Gligar,Gligar,글라이거,天蠍,天蝎
208,Steelix,ハガネール,Steelix,Stahlos,Steelix,Steelix,강철톤,大鋼蛇,大钢蛇
209,Snubbull,ブルー,Snubbull,Snubbull,Snubbull,Snubbull,블루,布魯,布鲁
210,Granbull,グランブル,Granbull,Granbull,Granbull,Granbull,그랑블루,布魯皇,布鲁皇
211,Qwilfish,ハリーセン,Qwilfish,Baldorfish,Qwilfish,Qwilfish,침바루,千針魚,千针鱼
212,Scizor,ハッサム,Cizayox,Scherox,Scizor,Scizor,핫삼나,巨鉗螳螂,巨钳螳螂
213,Shuckle,ツボツボ,Caratroc,Pottrott,Shuckle,Shuckle,단단지,壺壺,壶壶
214,Heracross,ヘラクロス,Scarhino,Skarabon,Heracross,Heracross,헤라크로스,赫拉克羅斯,赫拉克罗斯
215,Sneasel,ニューラ,Farfuret,Sniebel,Sneasel,Sneasel,포푸니,狃拉,狃拉
216,Teddiursa,ヒメグマ,Teddiursa,Teddiursa,Teddiursa,Teddiursa,깜지곰,熊寶寶,熊宝宝
217,Ursaring,リングマ,Ursaring,Ursaring,Ursaring,Ursaring,링곰,圈圈熊,圈圈熊
218,Slugma,マグマッグ,Limagma,Schneckmag,Slugma,Slugma,마그마그,熔岩蟲,熔岩虫
219,Magcargo,マグカルゴ,Volcaropod,Magcargo,Magcargo,Magcargo,마그카르고,熔岩蝸牛,熔岩蜗牛
220,Swinub,ウリムー,Marcacrin,Quiekel,Swinub,Swinub,꾸꾸리,小山豬,小山猪
221,Piloswine,イノムー,Cochignon,Keifel,Piloswine,Piloswine,메꾸리,長毛豬,长毛猪
222,Corsola,サニーゴ,Corayon,Corasonn,Corsola,Corsola,코산호,太陽珊瑚,太阳珊瑚
223,Remoraid,テッポウオ,Rémoraid,Remoraid,Remoraid,Remoraid,총어,鐵炮魚,铁炮鱼
224,Octillery,オクタン,Octillery,Octillery,Octillery,Octillery,대포무노,章魚桶,章鱼桶
225,Delibird,デリバード,Cadoizo,Botogel,Delibird,Delibird,딜리버드,信使鳥,信使鸟
226,Mantine,マンタイン,Démanta,mantax,Mantine,Mantine,만타인,巨翅飛魚,巨翅飞鱼
227,Skarmory,エアームド,Airmure,Panzaeron,Skarmory,Skarmory,무장조,盔甲鳥,盔甲鸟
228,Houndoor,デルビル,Malosse,Hunduster,Houndoor,Houndoor,델빌,戴魯比,戴鲁比
229,Houndoom,ヘルガー,Démolosse,Hundemon,Houndoom,Houndoom,헬가,黑魯加,黑鲁加
230,Kingdra,キングドラ,Hyporoi,Seedraking,Kingdra,Kingdra,킹드라,刺龍王,刺龙王
231,Phanpy,ゴマゾウ,Phanpy,Phanpy,Phanpy,Phanpy,코코리,小小象,小小象
232,Donphan,ドンファン,Donphan,Donphan,Donphan,Donphan,코리갑,頓甲,顿甲
233,Porygon2,ポリゴン２,Porygon2,Porygon2,Porygon2,Porygon2,폴리곤２,多邊獸Ⅱ,多边兽２型
234,Stantler,オドシシ,Cerfrousse,Damhirplex,Stantler,Stantler,노라키,驚角鹿,惊角鹿
235,Smeargle,ドーブル,Queulorior,Farbeagle,Smeargle,Smeargle,루브도,圖圖犬,图图犬
236,Tyrogue,バルキー,Debugant,Rabauz,Tyrogue,Tyrogue,배루키,無畏小子,无畏小子
237,Hitmontop,カポエラー,Kapoera,Kapoera,Hitmontop,Hitmontop,카포에라,戰舞郎,战舞郎
238,Smoochum,ムチュール,Lippouti,Kussilla,Smoochum,Smoochum,뽀뽀라,迷唇娃,迷唇娃
239,Elekid,エレキッド,Élékid,Elekid,Elekid,Elekid,에레키드,電擊怪,电击怪
240,Magby,ブビィ,Magby,Magby,Magby,Magby,마그비,鴨嘴寶寶,鸭嘴宝宝
241,Miltank,ミルタンク,Écrémeuh,Miltank,Miltank,Miltank,밀탱크,大奶罐,大奶罐
242,Blissey,ハピナス,Leuphorie,Heiteira,Blissey,Blissey,해피너스,幸福蛋,幸福蛋
243,Raikou,ライコウ,Raikou,Raikou,Raikou,Raikou,라이코,雷公,雷公
244,Entei,エンテイ,Entei,Entei,Entei,Entei,앤테이,炎帝,炎帝
245,Suicune,スイクン,Suicune,Suicune,Suicune,Suicune,앤테이,水君,水君
246,Larvitar,ヨーギラス,Embrylex,Larvitar,Larvitar,Larvitar,애버라스,幼基拉斯,幼基拉斯
247,Pupitar,サナギラス,Ymphect,Pupitar,Pupitar,Pupitar,데기라스,沙基拉斯,沙基拉斯
248,Tyranitar,バンギラス,Tyranocif,Despotar,Tyranitar,Tyranitar,마기라스,班基拉斯,班基拉斯
249,Lugia,ルギア,Lugia,Lugia,Lugia,Lugia,루기아,洛奇亞,洛奇亚
250,Ho-Oh,ホウオウ,Ho-Oh,Ho-Oh,Ho-Oh,Ho-Oh,칠색조,鳳王,凤王
251,Celebi,セリビィ,Celebi,Celebi,Celebi,Celebi,세레비,時拉比,时拉比
252,Treecko,キモリ,Arcko,Geckabor,Treecko,Treecko,나무지기,木守宮,木守宫
253,Grovyle,ジュプトル,Massko,Reptain,Grovyle,Grovyle,나무돌이,森林蜥蜴,森林蜥蜴
254,Sceptile,ジュカイン,Jungko,Gewaldro,Sceptile,Sceptile,나무킹,蜥蜴王,蜥蜴王
